id_station;adresse;cp;fermeture;latitude;longitude;marque;nom;ouverture;pop;saufjour;services;ville
79110003;;79110;;46.10691;-0.070357;Intermarché;INTERMARCHE CHEF BOUTONNE;;R;;;
79400003;;79400;;46.40727;-0.225;Leclerc;SAINT-MAIXENT-DIS;;R;;;
63000001;;63000;;45.77302;3.09641;Total;Relais Lagarde Clermont Lafayette;;R;;;
44130002;;44130;;47.47669;-1.76169;Total;SARL ABF;;R;;;
75012008;;75012;;48.84576;2.41445;BP;BP PARIS PERIPH. Ext. Pte DE VINCENNES;;R;;;
78250004;;78250;;48.99804;1.88251;Total;Total Relais des belles vues;;R;;;
82710001;;82710;;43.95195;1.32414;Total;RELAIS NAUZE VERT;;A;;;
71700004;;71700;;46.59851;4.90268;Total;RELAIS DE SAONE;;R;;;
88300007;;88300;;;;;;;R;;;
13005007;;13005;;;;;;;R;;;
34340001;;34340;;;;;;;R;;;
64190002;;64190;;43.31906;-0.7712;Intermarché;INTERMARCHE SUSMIOU;;R;;;
67220001;;67220;;48.34028;7.31551;Total;GARAGE JOST SARL;;R;;;
64000001;;64000;;43.30622;-0.33406;Auchan;AUCHAN PAU;;R;;;
86180001;;86180;;46.59694;0.35091;Leclerc;E. LECLERC Buxerolles;;R;;;
21000008;;21000;;;;;;;R;;;
57430001;;57430;;48.99069;7.02796;Système U;STATION U;;R;;;
94110001;;94110;;48.8123;2.33143;Elf;RELAIS ELF  ARCUEIL LENINE;;R;;;
15000014;;15000;;44.93338;2.45008;Elan;SARL GARAGE DU NORD;;R;;;
68310001;;68310;;47.81457;7.24231;Système U;SUPER U - MAISON CORRADI SA;;R;;;
64160003;;64160;;43.34612;-0.25529;Intermarché;INTERMARCHE MORLAAS;;R;;;
62690002;;62690;;50.34803;2.56931;Total;MR TETELIN;;R;;;
91180007;;91180;;;;;;;R;;;
91260002;;91260;;48.69392;2.35829;Intermarché;INTERMARCHE JUVISY-SUR-ORGE;;R;;;
84500001;;84500;;44.28868;4.74895;Total;GGE PORTES PROVENCE;;R;;;
29000012;;29000;;;;;;;R;;;
35330002;;35330;;47.89424;-1.99048;Intermarché;INTERMARCHE MERNEL;;R;;;
63000024;;63000;;;;;;;R;;;
24200002;;24200;;44.90695;1.20663;Total;MONSIEUR FAUGERE HENRI;;R;;;
92300009;;92300;;48.89928;2.29357;BP;BP LEVALLOIS VICTOR HUGO 8 à Huit;;R;;;
87100001;;87100;;45.84032;1.23467;Système U;Hyper U Coop Atlantique Limoges;;R;;;
94240001;;94240;;48.77149;2.32314;Total;SAS TELLIER;;R;;;
6460001;;06460;;;;;;;R;;;
20200005;;20200;;;;;;;R;;;
41100004;;41100;;47.80311;1.04398;Leclerc;Leclerc Vendôme;;R;;;
81380001;;81380;;43.95483;2.15595;Leclerc;E.LECLERC LESCURE;;R;;;
38350002;;38350;;44.92437;5.78284;Casino;CASINO SUPERMARCHE;;R;;;
54700006;;54700;;48.90934;6.04435;Intermarché;INTERMARCHE PONT A MOUSSON;;R;;;
91180003;;91180;;48.59753;2.2592;Total;Relais de la Grande Folie;;R;;;
38113001;;38113;;45.26267;5.6243;Esso;Esso Service Voroize;;R;;;
80700008;;80700;;49.70686;2.7759;Indépendant sans enseigne;STATION BALZAC;;R;;;
92140008;;92140;;;;;;;R;;;
6190004;;06190;;43.76367;7.4799;Esso;STATION SERVICE DU STADE;;R;;;
71240005;;71240;;46.68832;4.84479;BP;BP A6 AIRE DE ST-AMBREUIL;;A;;;
81170001;;81170;;44.05914;1.96601;Total;Sarl atra;;R;;;
67100007;;67100;;48.57063;7.76397;Avia;AVIA STRASBOURG NEUDORF;;R;;;
42500012;;42500;;;;;;;R;;;
13013014;;13013;;43.31671;5.40449;Agip;AGIP MARSEILLE ST JUST;;R;;;
34170003;;34170;;43.63789;3.92717;Intermarché;INTERMARCHE AUBEROUGE;;R;;;
13400004;;13400;;43.30053;5.56976;Total;RELAIS PIN VERT;;R;;;
73700004;;73700;;45.60938;6.76133;Elan;DISTRISER AUTO;;R;;;
13012005;;13012;;;;;;;R;;;
10170001;;10170;;48.50802;3.87882;Intermarché;INTERMARCHE MERY SUR SEINE;;R;;;
85250002;;85250;;46.87807;-1.28385;Shell;SARL DUPE TROLL;;A;;;
